number_of_csvs,query,median_time(ms)
5,5duration,3652.5
5,5fanout,3765.5
5,5height,3433.0
5,5one_call,7810.0
10,10duration,3925.5
10,10fanout,4465.0
10,10height,4662.5
10,10one_call,13041.0
15,15duration,4481.0
15,15fanout,4974.5
15,15height,5958.0
15,15one_call,19329.5
20,20duration,7646.0
20,20fanout,8811.5
20,20height,10065.0
20,20one_call,21669.5
25,25duration,5654.0
25,25fanout,6727.0
25,25height,8608.5
25,25one_call,25520.5
30,30duration,7133.0
30,30fanout,7995.0
30,30height,9957.0
30,30one_call,30143.5
35,35duration,7157.5
35,35fanout,9491.5
35,35height,12634.5
35,35one_call,35980.5
40,40duration,7907.0
40,40fanout,9632.0
40,40height,12350.0
40,40one_call,42943.0
45,45duration,8524.0
45,45fanout,10929.0
45,45height,14228.0
45,45one_call,54509.0
50,50duration,9570.5
50,50fanout,11413.5
50,50height,15558.0
50,50one_call,62911.5
55,55duration,13189.5
55,55fanout,17403.0
55,55height,16142.0
55,55one_call,59367.5
60,60duration,11226.5
60,60fanout,13626.0
60,60height,16502.5
60,60one_call,73714.5
65,65duration,11572.0
65,65fanout,15164.0
65,65height,18434.5
65,65one_call,82601.0
70,70duration,14456.5
70,70fanout,15137.5
70,70height,20384.5
70,70one_call,81909.0
